Maldivas ; 16 ; 14 ; 23 ; 45 ; 62 ; 10
Mali ; 1259 ; 1094 ; 1439 ; 1649 ; 1724 ; 240
Malta ; 10 ; 10 ; 18 ; 35 ; 90 ; 47
Marruecos ; 1614 ; 1579 ; 2403 ; 3673 ; 6076 ; 1476
Martinica ; 12 ; 13 ; 23 ; 33 ; 75 ; 38
Mauricio ; 47 ; 45 ; 80 ; 126 ; 285 ; 78
Mauritania ; 261 ; 243 ; 343 ; 418 ; 552 ; 75
Mexico ; 4852 ; 4968 ; 8087 ; 11322 ; 21719 ; 5892
Micronesia (Estados Federados de) ; 6 ; 7 ; 11 ; 15 ; 16 ; 4
Monaco ; 1 ; 1 ; 1 ; 2 ; 7 ; 4
Mongolia ; 126 ; 120 ; 180 ; 340 ; 560 ; 86
Montenegro ; 19 ; 19 ; 34 ; 55 ; 127 ; 54
Montserrat ; 0 ; 0 ; 0 ; 1 ; 1 ; 0
Mozambique ; 1999 ; 1869 ; 2570 ; 2803 ; 2907 ; 597
Myanmar ; 2336 ; 2283 ; 3504 ; 5362 ; 10140 ; 2283
Namibia ; 145 ; 140 ; 210 ; 289 ; 347 ; 63
Nauru ; 1 ; 1 ; 1 ; 1 ; 2 ; 0
Nepal ; 1820 ; 1788 ; 2958 ; 3835 ; 4745 ; 975
Nicaragua ; 351 ; 345 ; 526 ; 727 ; 946 ; 213
Niger ; 2011 ; 1666 ; 1858 ; 1704 ; 2068 ; 326
Nigeria ; 13546 ; 12315 ; 16713 ; 19352 ; 22519 ; 4222
Noruega ; 151 ; 156 ; 257 ; 403 ; 1022 ; 524
Nueva Caledonia ; 10 ; 11 ; 18 ; 27 ; 53 ; 17
Nueva Zelandia ; 153 ; 153 ; 243 ; 386 ; 871 ; 418
Oman ; 166 ; 154 ; 243 ; 406 ; 704 ; 109
Paises Bajos ; 457 ; 474 ; 829 ; 1269 ; 3468 ; 1894
Pakistan ; 13358 ; 12330 ; 17879 ; 23838 ; 31442 ; 6782
Palau ; 1 ; 1 ; 2 ; 2 ; 4 ; 1
Panama ; 174 ; 177 ; 275 ; 377 ; 698 ; 200
Papua Nueva Guinea ; 522 ; 499 ; 722 ; 852 ; 1129 ; 169
Paraguay ; 378 ; 371 ; 582 ; 792 ; 1107 ; 294
Peru ; 1466 ; 1497 ; 2371 ; 3369 ; 5522 ; 1435
Polinesia Francesa ; 12 ; 12 ; 19 ; 31 ; 58 ; 15
Polonia ; 945 ; 945 ; 1512 ; 3099 ; 8200 ; 3476
Portugal ; 259 ; 270 ; 464 ; 723 ; 2352 ; 1165
Puerto Rico ; 130 ; 130 ; 216 ; 342 ; 762 ; 367
Qatar ; 46 ; 46 ; 68 ; 245 ; 764 ; 41
Reino Unido ; 1906 ; 1906 ; 2922 ; 5273 ; 12579 ; 6670
Republica Arabe Siria ; 1494 ; 1470 ; 2009 ; 2743 ; 4090 ; 637
Republica Centroafricana ; 340 ; 310 ; 453 ; 547 ; 641 ; 128
Republica Checa ; 294 ; 284 ; 389 ; 788 ; 2323 ; 1093
Republica De Corea ; 1131 ; 1180 ; 2261 ; 4080 ; 11748 ; 3932
Republica De Moldova ; 111 ; 107 ; 145 ; 343 ; 685 ; 256
Republica Democratica Del Congo ; 6658 ; 5652 ; 7664 ; 8361 ; 8594 ; 1471
Republica Democratica Popular Lao ; 429 ; 401 ; 625 ; 864 ; 998 ; 190
Republica Dominicana ; 543 ; 554 ; 837 ; 1130 ; 1858 ; 522
Republica Popular Democratica de Corea ; 805 ; 781 ; 1415 ; 2367 ; 5343 ; 1342
Republica Unida de Tanzania ; 4533 ; 3908 ; 4898 ; 5471 ; 6097 ; 1146
Reunion ; 37 ; 37 ; 58 ; 83 ; 168 ; 48
Rumania ; 520 ; 540 ; 873 ; 1663 ; 4573 ; 1912
Rwanda ; 975 ; 810 ; 1022 ; 1292 ; 1409 ; 200
Sahara occidental ; 32 ; 29 ; 41 ; 68 ; 141 ; 18
Saint Kitts y Nevis ; 2 ; 2 ; 3 ; 5 ; 12 ; 3
Saint-Pierre y Miquelon ; 0 ; 0 ; 0 ; 1 ; 1 ; 0
Samoa ; 10 ; 10 ; 20 ; 24 ; 25 ; 6
Samoa Americana ; 4 ; 4 ; 6 ; 9 ; 12 ; 3
San Marino ; 1 ; 1 ; 1 ; 2 ; 8 ; 3
San Vicente y las Granadinas ; 5 ; 5 ; 8 ; 11 ; 22 ; 5
Santa Elena ; 0 ; 0 ; 0 ; 0 ; 1 ; 0
Santa Lucia ; 7 ; 8 ; 12 ; 20 ; 34 ; 8
Santo Tome y Principe ; 12 ; 12 ; 17 ; 21 ; 24 ; 4
Senegal ; 1133 ; 1031 ; 1394 ; 1627 ; 1772 ; 247
Serbia ; 285 ; 295 ; 482 ; 816 ; 2044 ; 943
Seychelles ; 4 ; 4 ; 7 ; 10 ; 14 ; 3
Sierra Leona ; 531 ; 472 ; 623 ; 662 ; 820 ; 98
Singapur ; 101 ; 106 ; 228 ; 435 ; 1164 ; 501
Somalia ; 934 ; 783 ; 1019 ; 1062 ; 1309 ; 225
Sri Lanka ; 868 ; 889 ; 1312 ; 1884 ; 4022 ; 1397
Sudafrica ; 2584 ; 2533 ; 4031 ; 5892 ; 8683 ; 1757
Sudan ; 3102 ; 2912 ; 4391 ; 5441 ; 6825 ; 1384
Suecia ; 285 ; 285 ; 418 ; 750 ; 1852 ; 1140
Suiza ; 186 ; 193 ; 333 ; 580 ; 1609 ; 859
Suriname ; 24 ; 24 ; 40 ; 54 ; 106 ; 25
Swazilandia ; 85 ; 80 ; 121 ; 175 ; 144 ; 31
