Republica Dominicana ; 522 ; 532 ; 815 ; 1130 ; 1880 ; 359
Republica Popular Democratica de Corea ; 756 ; 756 ; 1342 ; 2269 ; 5221 ; 1220
Republica Unida de Tanzania ; 4429 ; 3856 ; 4846 ; 5419 ; 6045 ; 4221
Reunion ; 36 ; 37 ; 57 ; 82 ; 177 ; 24
Rumania ; 478 ; 499 ; 831 ; 1601 ; 4594 ; 1538
Rwanda ; 986 ; 834 ; 1057 ; 1327 ; 1550 ; 1515
Sahara occidental ; 31 ; 28 ; 39 ; 64 ; 119 ; 15
Saint Kitts y Nevis ; 2 ; 2 ; 3 ; 5 ; 12 ; 1
Saint-Pierre y Miquelon ; 0 ; 0 ; 0 ; 0 ; 1 ; 0
Samoa ; 9 ; 9 ; 18 ; 21 ; 21 ; 18
Samoa Americana ; 4 ; 4 ; 6 ; 8 ; 12 ; 3
San Marino ; 1 ; 1 ; 1 ; 2 ; 7 ; 2
San Vicente y las Granadinas ; 4 ; 5 ; 8 ; 11 ; 21 ; 12
Santa Elena ; 0 ; 0 ; 0 ; 0 ; 1 ; 0
Santa Lucia ; 7 ; 7 ; 12 ; 20 ; 36 ; 18
Santo Tome y Principe ; 12 ; 11 ; 17 ; 20 ; 25 ; 10
Senegal ; 1104 ; 1017 ; 1365 ; 1627 ; 1917 ; 1554
Serbia ; 265 ; 275 ; 452 ; 776 ; 2025 ; 295
Seychelles ; 4 ; 4 ; 7 ; 10 ; 14 ; 2
Sierra Leona ; 525 ; 472 ; 629 ; 695 ; 911 ; 787
Singapur ; 96 ; 96 ; 212 ; 405 ; 1148 ; 0
Somalia ; 923 ; 773 ; 1009 ; 1073 ; 1363 ; 419
Sri Lanka ; 847 ; 868 ; 1249 ; 1820 ; 4297 ; 381
Sudafrica ; 2533 ; 2533 ; 4031 ; 5840 ; 8631 ; 5685
Sudan ; 2959 ; 2816 ; 4248 ; 5298 ; 6825 ; 1193
Suecia ; 266 ; 266 ; 399 ; 722 ; 1795 ; 769
Suiza ; 178 ; 186 ; 309 ; 565 ; 1671 ; 395
Suriname ; 22 ; 22 ; 40 ; 53 ; 104 ; 18
Swazilandia ; 84 ; 79 ; 120 ; 174 ; 153 ; 179
Tailandia ; 2378 ; 2378 ; 3777 ; 6155 ; 15666 ; 9512
Tayikistan ; 466 ; 427 ; 660 ; 962 ; 1180 ; 442
Territorio Palestino Ocupado ; 372 ; 351 ; 494 ; 540 ; 616 ; 168
Timor-Leste ; 116 ; 97 ; 126 ; 148 ; 157 ; 104
Togo ; 510 ; 479 ; 692 ; 852 ; 1057 ; 236
Tonga ; 6 ; 7 ; 9 ; 10 ; 15 ; 3
Trinidad y Tabago ; 48 ; 47 ; 71 ; 133 ; 309 ; 36
Tunez ; 403 ; 381 ; 599 ; 1121 ; 2264 ; 348
Turkmenistan ; 259 ; 253 ; 386 ; 645 ; 1030 ; 281
Turquia ; 3199 ; 3199 ; 5198 ; 7917 ; 15993 ; 3918
Tuvalu ; 1 ; 0 ; 1 ; 1 ; 2 ; 1
Ucrania ; 1148 ; 1104 ; 1590 ; 3489 ; 10202 ; 2606
Uganda ; 3693 ; 3137 ; 3931 ; 4249 ; 3971 ; 1628
Uruguay ; 117 ; 120 ; 199 ; 298 ; 652 ; 185
Uzbekistan ; 1355 ; 1267 ; 2062 ; 3535 ; 5390 ; 1532
Vanuatu ; 17 ; 17 ; 23 ; 30 ; 40 ; 39
Venezuela (Republica Bolivariana de) ; 1439 ; 1439 ; 2222 ; 3192 ; 5664 ; 657
Viet Nam ; 3465 ; 3465 ; 5806 ; 9739 ; 19291 ; 10488
Yemen ; 2086 ; 1892 ; 2587 ; 3199 ; 3366 ; 1141
Zambia ; 1258 ; 1124 ; 1483 ; 1618 ; 1603 ; 434
Zimbabwe ; 926 ; 856 ; 1291 ; 1936 ; 1669 ; 744
