Continente                                         Pais               Total   Hombres   Mujeres  %Hombres  %Mujeres
Europa         Chipre                                                   924       450       474      48.7%      51.3%
Europa         Croacia                                                 4370      2111      2259     48.31%     51.69%
Europa         Dinamarca                                               5517      2745      2773     49.76%     50.26%
Europa         Eslovaquia                                              5437      2632      2805     48.41%     51.59%
Europa         Eslovenia                                               2044      1002      1042     49.02%     50.98%
Europa         España                                                 47203     23413     23790      49.6%      50.4%
Europa         Estonia                                                 1336       618       718     46.26%     53.74%
Europa         Federacion de Rusia                                   137845     63472     74373     46.05%     53.95%
Europa         Finlandia                                               5432      2667      2765      49.1%      50.9%
Europa         Francia                                                63900     31119     32781      48.7%      51.3%
Europa         Georgia                                                 4084      1915      2169     46.89%     53.11%
Europa         Gibraltar                                                 31        16        15     51.61%     48.39%
Europa         Grecia                                                 11250      5585      5664     49.64%     50.35%
Europa         Hungria                                                 9864      4680      5184     47.45%     52.55%
Europa         Irlanda                                                 4876      2443      2433      50.1%      49.9%
Europa         Islandia                                                 353       183       170     51.84%     48.16%
Europa         Islas Feroe (Miembro Asociado)                            52        26        26      50.0%      50.0%
Europa         Italia                                                 60543     29575     30969     48.85%     51.15%
Europa         La ex Republica Yugoslava de Macedonia                  2045      1020      1025     49.88%     50.12%
Europa         Letonia                                                 2195      1017      1178     46.33%     53.67%
Europa         Liechtenstein                                             38        19        19      50.0%      50.0%
Europa         Lituania                                                3140      1471      1669     46.85%     53.15%
Europa         Luxemburgo                                               521       259       262     49.71%     50.29%
Europa         Malta                                                    418       209       209      50.0%      50.0%
Europa         Monaco                                                    33        16        17     48.48%     51.52%
Europa         Montenegro                                               626       308       319      49.2%     50.96%
Europa         Noruega                                                 4694      2513      2181     53.54%     46.46%
Europa         Paises Bajos                                           15156      8390      6766     55.36%     44.64%
Europa         Polonia                                                34841     18176     16665     52.17%     47.83%
Europa         Portugal                                               10679      5232      5447     48.99%     51.01%
Europa         Reino Unido                                            55841     31256     24585     55.97%     44.03%
Europa         Republica Checa                                         9396      5171      4225     55.03%     44.97%
Europa         Republica De Moldova                                    3455      1648      1807      47.7%      52.3%
Europa         Rumania                                                19623     10082      9541     51.38%     48.62%
Europa         San Marino                                                30        16        14     53.33%     46.67%
Europa         Serbia                                                  8953      4865      4088     54.34%     45.66%
Europa         Suecia                                                  8947      4730      4217     52.87%     47.13%
Europa         Suiza                                                   7063      3760      3303     53.24%     46.76%
Europa         Turquia                                                79486     40063     39423      50.4%      49.6%
Europa         Ucrania                                                40499     20360     20139     50.27%     49.73%
Oceania        Australia                                              22584     11236     11349     49.75%     50.25%
Oceania        Fiji                                                     874       443       431     50.69%     49.31%
Oceania        Islas Cook                                                20        10        10      50.0%      50.0%
Oceania        Islas Salomon                                            600       310       289     51.67%     48.17%
Oceania        Islas Wallis y Futuna                                     16         8         8      50.0%      50.0%
Oceania        Kiribati                                                 107        51        56     47.66%     52.34%
Oceania        Micronesia (Estados Federados de)                        114        58        56     50.88%     49.12%
Oceania        Nauru                                                     11         5         6     45.45%     54.55%
Oceania        Nueva Caledonia                                          285       135       150     47.37%     52.63%
Oceania        Nueva Zelandia                                          4321      2224      2098     51.47%     48.55%
Oceania        Palau                                                     21        10        11     47.62%     52.38%
Oceania        Papua Nueva Guinea                                      7916      3893      4023     49.18%     50.82%
Oceania        Polinesia Francesa                                       288       147       141     51.04%     48.96%
Oceania        Saint Kitts y Nevis                                       54        27        26      50.0%     48.15%
Oceania        Samoa                                                    191        94        96     49.21%     50.26%
Oceania        Samoa Americana                                           73        37        36     50.68%     49.32%
Oceania        Timor-Leste                                             1451       704       748     48.52%     51.55%
Oceania        Tonga                                                    103        53        49     51.46%     47.57%
Oceania        Tuvalu                                                    10         5         5      50.0%      50.0%
Oceania        Vanuatu                                                  307       140       167      45.6%      54.4%
